date,price_range_percent
2020-01-15,2.69
2020-01-16,2.72
2020-01-17,3.24
2020-01-18,2.09
2020-01-19,6.31
2020-01-20,2.16
2020-01-21,2.47
2020-01-22,1.81
2020-01-23,4.25
2020-01-24,3.0
2020-01-25,1.96
2020-01-26,3.33
2020-01-27,4.42
2020-01-28,5.05
2020-01-29,1.48
2020-01-30,3.49
2020-01-31,3.15
2020-02-01,1.35
2020-02-02,2.72
2020-02-03,3.15
2020-02-04,2.4
2020-02-05,5.87
2020-02-06,2.99
2020-02-07,1.12
2020-02-08,2.04
2020-02-09,2.83
2020-02-10,3.9
2020-02-11,4.94
2020-02-12,1.87
2020-02-13,3.38
2020-02-14,1.94
2020-02-15,4.73
2020-02-16,3.41
2020-02-17,4.54
2020-02-18,5.5
2020-02-19,6.04
2020-02-20,1.42
2020-02-21,1.39
2020-02-22,1.02
2020-02-23,2.9
2020-02-24,4.35
2020-02-25,3.74
2020-02-26,7.47
2020-02-27,4.15
2020-02-28,4.68
2020-02-29,2.05
2020-03-01,3.02
2020-03-02,4.56
2020-03-03,2.26
2020-03-04,1.5
2020-03-05,4.39
2020-03-06,1.5
2020-03-07,3.06
2020-03-08,9.98
2020-03-09,6.34
2020-03-10,4.12
2020-03-11,4.03
2020-03-12,63.14
2020-03-13,42.15
2020-03-14,9.76
2020-03-15,12.91
2020-03-16,17.7
2020-03-17,7.82
2020-03-18,5.18
2020-03-19,20.87
2020-03-20,16.68
2020-03-21,7.51
2020-03-22,9.2
2020-03-23,11.39
2020-03-24,5.9
2020-03-25,5.44
2020-03-26,2.19
2020-03-27,5.06
2020-03-28,5.72
2020-03-29,5.58
2020-03-30,10.4
2020-03-31,2.05
2020-04-01,6.61
2020-04-02,7.46
2020-04-03,4.94
2020-04-04,2.72
2020-04-05,2.49
2020-04-06,7.21
2020-04-07,4.08
2020-04-08,2.84
2020-04-09,2.26
2020-04-10,7.37
2020-04-11,2.01
2020-04-12,4.53
2020-04-13,4.46
2020-04-14,2.42
2020-04-15,4.45
2020-04-16,8.83
2020-04-17,1.66
2020-04-18,2.55
2020-04-19,1.58
2020-04-20,5.92
2020-04-21,1.46
2020-04-22,4.05
2020-04-23,5.79
2020-04-24,1.88
2020-04-25,1.59
2020-04-26,1.84
2020-04-27,1.51
2020-04-28,1.08
2020-04-29,13.94
2020-04-30,10.63
2020-05-01,4.39
2020-05-02,2.22
2020-05-03,3.81
2020-05-04,3.61
2020-05-05,2.32
2020-05-06,4.96
2020-05-07,9.35
2020-05-08,2.35
2020-05-09,3.48
2020-05-10,14.3
2020-05-11,7.87
2020-05-12,4.44
2020-05-13,5.82
2020-05-14,5.82
2020-05-15,5.34
2020-05-16,3.28
2020-05-17,5.06
2020-05-18,3.51
2020-05-19,3.11
2020-05-20,3.79
2020-05-21,7.73
2020-05-22,2.49
2020-05-23,2.02
2020-05-24,5.7
2020-05-25,2.65
2020-05-26,2.68
2020-05-27,4.18
2020-05-28,4.35
2020-05-29,2.07
2020-05-30,3.6
2020-05-31,2.84
2020-06-01,7.92
2020-06-02,7.63
2020-06-03,2.23
2020-06-04,3.8
2020-06-05,2.13
2020-06-06,1.9
2020-06-07,3.28
2020-06-08,1.1
2020-06-09,1.78
2020-06-10,1.86
2020-06-11,7.29
2020-06-12,2.74
2020-06-13,1.03
2020-06-14,1.44
2020-06-15,5.72
2020-06-16,1.9
2020-06-17,2.28
2020-06-18,1.66
2020-06-19,1.8
2020-06-20,1.6
2020-06-21,1.08
2020-06-22,3.85
2020-06-23,1.29
2020-06-24,4.33
2020-06-25,2.69
2020-06-26,2.29
2020-06-27,2.33
2020-06-28,2.47
2020-06-29,2.16
2020-06-30,1.46
2020-07-01,2.25
2020-07-02,2.64
2020-07-03,1.58
2020-07-04,1.43
2020-07-05,2.06
2020-07-06,3.5
2020-07-07,1.73
2020-07-08,2.17
2020-07-09,2.13
2020-07-10,1.86
2020-07-11,1.02
2020-07-12,1.33
2020-07-13,0.89
2020-07-14,1.22
2020-07-15,1.13
2020-07-16,1.38
2020-07-17,1.02
2020-07-18,1.43
2020-07-19,1.14
2020-07-20,0.84
2020-07-21,2.82
2020-07-22,2.26
2020-07-23,1.34
2020-07-24,1.5
2020-07-25,1.83
2020-07-26,3.84
2020-07-27,14.08
2020-07-28,5.38
2020-07-29,4.13
2020-07-30,2.51
2020-07-31,3.9
2020-08-01,4.94
2020-08-02,9.22
2020-08-03,4.0
2020-08-04,2.63
2020-08-05,5.63
2020-08-06,2.62
2020-08-07,4.29
2020-08-08,2.09
2020-08-09,2.23
2020-08-10,3.28
2020-08-11,6.58
2020-08-12,4.43
2020-08-13,5.17
2020-08-14,3.98
2020-08-15,1.65
2020-08-16,1.68
2020-08-17,4.68
2020-08-18,3.19
2020-08-19,2.92
2020-08-20,1.63
2020-08-21,2.89
2020-08-22,2.1
2020-08-23,1.33
2020-08-24,1.59
2020-08-25,5.26
2020-08-26,2.06
2020-08-27,3.44
2020-08-28,2.03
2020-08-29,1.04
2020-08-30,1.94
2020-08-31,1.47
2020-09-01,4.02
2020-09-02,5.97
2020-09-03,12.38
2020-09-04,4.47
2020-09-05,6.38
2020-09-06,2.95
2020-09-07,4.87
2020-09-08,4.72
2020-09-09,3.33
2020-09-10,2.6
2020-09-11,2.9
2020-09-12,2.78
2020-09-13,3.45
2020-09-14,5.2
2020-09-15,2.65
2020-09-16,3.69
2020-09-17,2.44
2020-09-18,1.9
2020-09-19,2.06
2020-09-20,2.6
2020-09-21,5.86
2020-09-22,1.79
2020-09-23,3.33
2020-09-24,5.27
2020-09-25,1.88
2020-09-26,0.99
2020-09-27,1.7
2020-09-28,2.26
2020-09-29,1.98
2020-09-30,1.67
2020-10-01,4.4
2020-10-02,2.32
2020-10-03,0.84
2020-10-04,1.44
2020-10-05,1.49
2020-10-06,2.55
2020-10-07,1.12
2020-10-08,3.63
2020-10-09,2.36
2020-10-10,3.48
2020-10-11,1.24
2020-10-12,4.07
2020-10-13,2.01
2020-10-14,2.05
2020-10-15,2.36
2020-10-16,2.82
2020-10-17,0.89
2020-10-18,1.2
2020-10-19,3.43
2020-10-20,2.73
2020-10-21,10.79
2020-10-22,3.5
2020-10-23,2.06
2020-10-24,2.01
2020-10-25,3.25
2020-10-26,3.14
2020-10-27,5.35
2020-10-28,7.0
2020-10-29,4.87
2020-10-30,3.92
2020-10-31,4.24
2020-11-01,1.71
2020-11-02,4.27
2020-11-03,4.95
2020-11-04,4.7
2020-11-05,11.38
2020-11-06,4.44
2020-11-07,9.11
2020-11-08,6.06
2020-11-09,6.19
2020-11-10,2.15
2020-11-11,4.1
2020-11-12,4.96
2020-11-13,2.95
2020-11-14,3.61
2020-11-15,2.09
2020-11-16,5.89
2020-11-17,7.36
2020-11-18,6.0
2020-11-19,4.24
2020-11-20,5.67
2020-11-21,2.67
2020-11-22,5.76
2020-11-23,3.95
2020-11-24,6.73
2020-11-25,4.36
2020-11-26,15.38
2020-11-27,5.56
2020-11-28,5.58
2020-11-29,4.13
2020-11-30,8.64
2020-12-01,8.32
2020-12-02,5.24
2020-12-03,3.38
2020-12-04,4.35
2020-12-05,3.07
2020-12-06,2.61
2020-12-07,2.54
2020-12-08,5.55
2020-12-09,3.85
2020-12-10,3.32
2020-12-11,3.68
2020-12-12,4.84
2020-12-13,3.45
2020-12-14,1.54
2020-12-15,2.33
2020-12-16,11.2
2020-12-17,11.34
2020-12-18,3.74
2020-12-19,5.52
2020-12-20,4.59
2020-12-21,8.58
2020-12-22,6.06
2020-12-23,5.36
